metin,etiket
Operasyon ekibi zamanında içinde geri dönüş sağladı.,0
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
"Raporlama Ahmet Y. tarafından 5 iş günüdür tamamlanmadı, proje gecikiyor.",1
"Ekip Lideri, hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Yönetici, 48 saattir yapılması gereken toplantıyı erteledi, işlem bekliyor.",1
Destek bileti #6857 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Ayşe K. hala proje planı onayını bekletiyor.,1
Müşteri verisi Ayşe K. tarafından 1 haftadır manuel olarak girilmedi.,1
"Finans planlaması hala yapılmadı, kaynak ataması bekliyor.",1
proje planı Yönetici tarafından zamanında onaylandı.,0
"Ahmet Y., 48 saattir yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Destek bileti #9966 Ayşe K. tarafından çözüldü ve kapatıldı.,0
Raporlama Ahmet Y. tarafından yönetime sunuldu.,0
Destek bileti #5712 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
Müşteri verisi Ekip Lideri tarafından 48 saattir manuel olarak girilmedi.,1
Raporlama Ayşe K. tarafından yönetime sunuldu.,0
Raporlama Ekip Lideri tarafından yönetime sunuldu.,0
"Destek bileti #3535, Departman Müdürü tarafından 3 gündür incelenmedi.",1
Destek bileti #4827 Yönetici tarafından çözüldü ve kapatıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
Müşteri verisi sisteme otomatik olarak aktarıldı.,0
"İK planlaması tamamlandı, kaynaklar atandı.",0
"Operasyon planlaması 1 haftadır yapılmadı, kaynak ataması bekliyor.",1
"Destek bileti #9686, Departman Müdürü tarafından 3 gündür incelenmedi.",1
Ahmet Y. hala proje planı onayını bekletiyor.,1
Satış ekibi bugün içinde geri dönüş sağladı.,0
"Ayşe K., hala yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
"Finans planlaması tamamlandı, kaynaklar atandı.",0
"Raporlama Ekip Lideri tarafından 1 haftadır tamamlanmadı, proje gecikiyor.",1
Operasyon ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Operasyon planlaması 3 gündür yapılmadı, kaynak ataması bekliyor.",1
"IT Destek ekibinden 5 iş günüdür geri dönüş alınamadı, süreç durdu.",1
Destek bileti #5936 Yönetici tarafından çözüldü ve kapatıldı.,0
"Yönetici, 5 iş günüdür yapılması gereken toplantıyı erteledi, proje gecikiyor.",1
Satış ekibi 1 saat içinde içinde geri dönüş sağladı.,0
"Ayşe K., 3 gündür yapılması gereken toplantıyı erteledi, müşteri bekliyor.",1
"IT Destek planlaması tamamlandı, kaynaklar atandı.",0
"Destek bileti #6221, Yönetici tarafından 5 iş günüdür incelenmedi.",1
Finans ekibi bugün içinde geri dönüş sağladı.,0
Destek bileti #3539 Ahmet Y. tarafından çözüldü ve kapatıldı.,0
"Raporlama Ekip Lideri tarafından 48 saattir tamamlanmadı, müşteri bekliyor.",1
Destek bileti #3315 Ayşe K. tarafından çözüldü ve kapatıldı.,0
"Operasyon planlaması tamamlandı, kaynaklar atandı.",0
Operasyon ekibi bugün içinde geri dönüş sağladı.,0
Müşteri verisi Ayşe K. tarafından hala manuel olarak girilmedi.,1
Müşteri verisi Ayşe K. tarafından 48 saattir manuel olarak girilmedi.,1
